,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,X,Y,CCN,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,OBJECTID,PSA_ID,DistrictID,SHIFT_Code,OFFENSE_Code,METHOD_Code,CRIME_TYPE,AGE,TIME_TO_REPORT,Year,Month,Day,hour,dayofyear,week,weekofyear,dayofweek,weekday,quarter
Unnamed: 0,1.0,1.0,1.0,-0.007558882053700946,0.016129518776365388,0.9750622923044177,-0.007565256423817146,0.01612841526261695,-0.014288915922541737,-0.013243768435795396,-0.026251674762098894,-0.026635720640676604,-0.01996660792154965,-0.002014653088427915,-0.010951017304516636,0.016129518769202364,-0.007558881400349911,-0.3112197896557526,-0.026546298332865915,-0.026445262718100365,0.04000677682575277,-0.07093486181392299,-0.03230544491380895,0.05818228408935936,-0.0015511115083123284,0.005004827555849774,0.9589707540445396,-0.0510868685588472,0.0033535541208012743,0.02986653834314158,-0.05143562964228508,-0.048640531999881643,-0.048640531999881643,-0.008933570671959663,-0.008933570671959663,-0.053553768186464484
Unnamed: 0.1,1.0,1.0,1.0,-0.007558882053700946,0.016129518776365388,0.9750622923044177,-0.007565256423817146,0.01612841526261695,-0.014288915922541737,-0.013243768435795396,-0.026251674762098894,-0.026635720640676604,-0.01996660792154965,-0.002014653088427915,-0.010951017304516636,0.016129518769202364,-0.007558881400349911,-0.3112197896557526,-0.026546298332865915,-0.026445262718100365,0.04000677682575277,-0.07093486181392299,-0.03230544491380895,0.05818228408935936,-0.0015511115083123284,0.005004827555849774,0.9589707540445396,-0.0510868685588472,0.0033535541208012743,0.02986653834314158,-0.05143562964228508,-0.048640531999881643,-0.048640531999881643,-0.008933570671959663,-0.008933570671959663,-0.053553768186464484
Unnamed: 0.1.1,1.0,1.0,1.0,-0.007558882053700946,0.016129518776365388,0.9750622923044177,-0.007565256423817146,0.01612841526261695,-0.014288915922541737,-0.013243768435795396,-0.026251674762098894,-0.026635720640676604,-0.01996660792154965,-0.002014653088427915,-0.010951017304516636,0.016129518769202364,-0.007558881400349911,-0.3112197896557526,-0.026546298332865915,-0.026445262718100365,0.04000677682575277,-0.07093486181392299,-0.03230544491380895,0.05818228408935936,-0.0015511115083123284,0.005004827555849774,0.9589707540445396,-0.0510868685588472,0.0033535541208012743,0.02986653834314158,-0.05143562964228508,-0.048640531999881643,-0.048640531999881643,-0.008933570671959663,-0.008933570671959663,-0.053553768186464484
X,-0.007558882053700946,-0.007558882053700946,-0.007558882053700946,1.0,-0.4473573325233248,-0.005597689226895887,0.9999999455034992,-0.44736018435541985,0.7332811426566596,0.7280029936935253,0.6026226863726108,0.603360381792199,0.7475425173163608,0.6446315955975541,0.5874617874374309,-0.4473573673315159,0.9999999999999755,-0.014864426795741893,0.603299000700702,0.6027262841032909,0.053372884640971764,0.22066264845027342,0.14347515743704886,-0.16727901660640784,-0.00255113893447952,-0.0018039897458729886,-0.001581900887118778,0.005493688967015739,0.00798104967727163,-0.016718477846307728,0.006119210201656557,0.004798068271671827,0.004798068271671827,-0.012813830428408068,-0.012813830428408068,0.006798605393570095
Y,0.016129518776365388,0.016129518776365388,0.016129518776365388,-0.4473573325233248,1.0,0.016282154028397947,-0.4472861636489313,0.9999999711435112,-0.6104731566236375,-0.6123242898249326,-0.3467439479769579,-0.3500412880258444,-0.5539658607453353,-0.5326052407675231,-0.5504675940559604,1.0000000000000262,-0.4473572907010311,0.0018549824423612904,-0.34991836496295764,-0.3467911653394472,-0.03665252670277628,-0.11280762939397386,-0.1074129994300748,0.12107599597589053,-0.004428608115863634,-0.0009448822146099688,0.014951066418811948,-0.00736088717676614,-0.005531485065354337,-0.013675533939051509,-0.007869493830221666,-0.007099878727690756,-0.007099878727690756,0.010986365912327836,0.010986365912327836,-0.00827726319859527
CCN,0.9750622923044177,0.9750622923044177,0.9750622923044177,-0.005597689226895887,0.016282154028397947,1.0,-0.005603223927877746,0.01628149622147453,-0.012262315178022351,-0.011291861135904864,-0.02266534500838478,-0.02304305959165484,-0.017101365863783132,-0.0024220358124474005,-0.010043799278573158,0.01628215393328018,-0.005597688519255941,-0.313136208625918,-0.02294073319235654,-0.02283693262650046,0.03987004616296445,-0.0695777788923255,-0.032069743671122045,0.05721562660007105,-0.001534709125918678,0.04327938953856929,0.9475392010148725,-0.08758632808070109,-0.0006817514169244317,0.02815470657353114,-0.08818539769826135,-0.08460324114396489,-0.08460324114396489,-0.0090133125723249,-0.0090133125723249,-0.09011872513982355
XBLOCK,-0.007565256423817146,-0.007565256423817146,-0.007565256423817146,0.9999999455034992,-0.4472861636489313,-0.005603223927877746,1.0,-0.4472889735482426,0.733320171638472,0.7280425099980846,0.6026936505235013,0.6034304351264362,0.7476089255328378,0.6445118674943254,0.5874591780399444,-0.44728619845853557,0.9999999455072925,-0.014863576979172503,0.6033691115906131,0.602797331840775,0.05336345454182279,0.2206868186542528,0.14348629540074465,-0.16728948425673293,-0.002551986058942747,-0.0018036819959021248,-0.0015868827054438953,0.005492022436274855,0.00798217392317112,-0.01671808570508502,0.0061176210649835,0.004796612467749668,0.004796612467749668,-0.012823077026214583,-0.012823077026214583,0.00679683668112834
YBLOCK,0.01612841526261695,0.01612841526261695,0.01612841526261695,-0.44736018435541985,0.9999999711435112,0.01628149622147453,-0.4472889735482426,1.0,-0.6104712744114954,-0.6123179175802628,-0.3467282472033584,-0.350025666615367,-0.5539529980341356,-0.5326534570634933,-0.5505017677516034,0.9999999711438267,-0.44736014253305845,0.001853884891985734,-0.34990270276820723,-0.3467754281043559,-0.03665789810589774,-0.11280524846691832,-0.10741231233429908,0.12107770072794143,-0.004428309837351248,-0.000944500832223209,0.014950443867071549,-0.0073620284894525675,-0.005531136600695032,-0.013673461581465629,-0.00787061791948889,-0.0071009741410213425,-0.0071009741410213425,0.010981823456603175,0.010981823456603175,-0.008278501942928028
WARD,-0.014288915922541737,-0.014288915922541737,-0.014288915922541737,0.7332811426566596,-0.6104731566236375,-0.012262315178022351,0.733320171638472,-0.6104712744114954,1.0,0.9954367120010184,0.5788048271991956,0.5796071707308024,0.9025049352712493,0.5616706723402944,0.5891720441365346,-0.6104731766052245,0.7332811279213749,-0.00958983036617559,0.579367069626089,0.5787572702901922,0.015108188080796869,0.21762492457810773,0.14708010433898167,-0.1646429085852633,0.0013858232685831928,-0.001807030598934944,-0.008266375802849103,0.005528383553626566,0.00827953472190802,-0.007415560007071356,0.00619148591653532,0.005184202251259362,0.005184202251259362,-0.029374941233210543,-0.029374941233210543,0.006959682629658266
ANC,-0.013243768435795396,-0.013243768435795396,-0.013243768435795396,0.7280029936935253,-0.6123242898249326,-0.011291861135904864,0.7280425099980846,-0.6123179175802628,0.9954367120010184,1.0,0.5788017427916031,0.5795741517721906,0.8977669470807235,0.5559537373262815,0.5823337920689632,-0.6123243095409022,0.7280029787347626,-0.009653080586125387,0.5793082998240923,0.578723543159782,0.015718987198032986,0.2166997083021914,0.14671260708154182,-0.16433258495412237,0.0013979447696507686,-0.0017248198840463832,-0.00736321129187463,0.0050340386976539635,0.008467818077362665,-0.005825325552971016,0.005715658055165409,0.004718391438448559,0.004718391438448559,-0.02952696783957769,-0.02952696783957769,0.006399048332535891
DISTRICT,-0.026251674762098894,-0.026251674762098894,-0.026251674762098894,0.6026226863726108,-0.3467439479769579,-0.02266534500838478,0.6026936505235013,-0.3467282472033584,0.5788048271991956,0.5788017427916031,1.0,0.9996264823148316,0.6519681504924782,0.33437313901187415,0.37053561399060836,-0.3467439673726047,0.6026226823780537,-0.007373742317690998,0.9996259485172975,0.9996973360703367,0.048109841907952415,0.25218712485234634,0.16998490149426917,-0.19572139236370512,-0.0007979930006210453,-0.0013413117357401882,-0.018017090654390226,0.003424621630679844,0.003956809685615854,-0.02688507369613784,0.003711528922519092,0.0022057112204738267,0.0022057112204738267,-0.012432158983391868,-0.012432158983391868,0.004193686625840608
PSA,-0.026635720640676604,-0.026635720640676604,-0.026635720640676604,0.603360381792199,-0.3500412880258444,-0.02304305959165484,0.6034304351264362,-0.350025666615367,0.5796071707308024,0.5795741517721906,0.9996264823148316,1.0,0.6526668807285584,0.3364651844792839,0.36940399384629924,-0.35004130738972133,0.6033603776421211,-0.007301289247242438,1.0,0.9999291543744645,0.04806845659656171,0.2523924605794398,0.17029879895064393,-0.19604493643554208,-0.0007424734550069036,-0.0013560820215626555,-0.018382358018563454,0.003409562272226585,0.003966036201026535,-0.026935821583015756,0.003698154854015698,0.0021928152399409173,0.0021928152399409173,-0.01250304261727404,-0.01250304261727404,0.004167392400233983
NEIGHBORHOOD_CLUSTER,-0.01996660792154965,-0.01996660792154965,-0.01996660792154965,0.7475425173163608,-0.5539658607453353,-0.017101365863783132,0.7476089255328378,-0.5539529980341356,0.9025049352712493,0.8977669470807235,0.6519681504924782,0.6526668807285584,1.0,0.5301514702812827,0.6074017015735286,-0.5539658824329908,0.7475425058768504,-0.009203587659289693,0.6527239552933617,0.6522111664000436,0.015236840983868963,0.22242303482160777,0.15007639016648522,-0.16745437876357272,0.0014302871442947425,-0.002317679831197337,-0.012723451617332135,0.0038364977600271644,0.008234660160106246,-0.011985222489598381,0.0044869704565536515,0.003553669877872684,0.003553669877872684,-0.030066066980367418,-0.030066066980367418,0.005147775732201706
CENSUS_TRACT,-0.002014653088427915,-0.002014653088427915,-0.002014653088427915,0.6446315955975541,-0.5326052407675231,-0.0024220358124474005,0.6445118674943254,-0.5326534570634933,0.5616706723402944,0.5559537373262815,0.33437313901187415,0.3364651844792839,0.5301514702812827,1.0,0.4938052577959127,-0.5326052584909216,0.6446315828257624,-0.0071228602781433226,0.3364856998087404,0.33452126893332557,0.048550076840739684,0.11294991445141479,0.08346661202465314,-0.0953610408793969,0.0013846030182194922,0.0003496014746234788,-0.0005215379133897835,0.005072072475370091,0.004603805457275664,-0.033901513742526056,0.0054763284237892415,0.005350932614623373,0.005350932614623373,0.0011876498701237186,0.0011876498701237186,0.0059529170678430075
VOTING_PRECINCT,-0.010951017304516636,-0.010951017304516636,-0.010951017304516636,0.5874617874374309,-0.5504675940559604,-0.010043799278573158,0.5874591780399444,-0.5505017677516034,0.5891720441365346,0.5823337920689632,0.37053561399060836,0.36940399384629924,0.6074017015735286,0.4938052577959127,1.0,-0.5504676088875656,0.5874617724414148,-0.006813756440539322,0.3694011332183433,0.37062201259994415,0.03222121069744935,0.13984860051770992,0.1019794827730331,-0.11741545719548674,-0.0009741292295498452,-0.0031495138846981967,-0.006586947505237237,0.0029995022327639347,0.008299377615457924,0.0011939437681668353,0.003698954318249324,0.002755656692013226,0.002755656692013226,-0.0073088388812154,-0.0073088388812154,0.003813307750278213
LATITUDE,0.016129518769202364,0.016129518769202364,0.016129518769202364,-0.4473573673315159,1.0000000000000262,0.01628215393328018,-0.44728619845853557,0.9999999711438267,-0.6104731766052245,-0.6123243095409022,-0.3467439673726047,-0.35004130738972133,-0.5539658824329908,-0.5326052584909216,-0.5504676088875656,1.0,-0.447357325509309,0.0018549830575254017,-0.34991838432600036,-0.3467911847381603,-0.036652528312463704,-0.11280763676957418,-0.10741300356228484,0.12107600087143217,-0.004428607918140652,-0.0009448821178787535,0.014951066175891245,-0.007360887271119384,-0.0055314853026793565,-0.013675532949635043,-0.00786949394184854,-0.007099878795999213,-0.007099878795999213,0.010986366258115172,0.010986366258115172,-0.008277263330844107
LONGITUDE,-0.007558881400349911,-0.007558881400349911,-0.007558881400349911,0.9999999999999755,-0.4473572907010311,-0.005597688519255941,0.9999999455072925,-0.44736014253305845,0.7332811279213749,0.7280029787347626,0.6026226823780537,0.6033603776421211,0.7475425058768504,0.6446315828257624,0.5874617724414148,-0.447357325509309,1.0,-0.014864427043998443,0.6032989965549728,0.6027262801077415,0.0533728839737167,0.22066264773656066,0.14347515519225304,-0.16727901421057526,-0.0025511392228822227,-0.00180398983776425,-0.0015819001544439863,0.005493688711847146,0.007981049576006188,-0.01671847895999846,0.0061192099345193365,0.004798068013949899,0.004798068013949899,-0.012813830151957823,-0.012813830151957823,0.006798605120569426
OBJECTID,-0.3112197896557526,-0.3112197896557526,-0.3112197896557526,-0.014864426795741893,0.0018549824423612904,-0.313136208625918,-0.014863576979172503,0.001853884891985734,-0.00958983036617559,-0.009653080586125387,-0.007373742317690998,-0.007301289247242438,-0.009203587659289693,-0.0071228602781433226,-0.006813756440539322,0.0018549830575254017,-0.014864427043998443,1.0,-0.00739471376909456,-0.00736439591297654,-0.010069841135705882,0.02958990316537176,0.01472927998936696,-0.023578317566684538,0.002533570958021414,0.0009515346376111428,-0.30702193034092623,-0.053934715761850355,-0.0028598240906900652,-0.002522012344883337,-0.052392849172049595,-0.0528194938150369,-0.0528194938150369,-0.0016396368495988406,-0.0016396368495988406,-0.05691141726823325
PSA_ID,-0.026546298332865915,-0.026546298332865915,-0.026546298332865915,0.603299000700702,-0.34991836496295764,-0.02294073319235654,0.6033691115906131,-0.34990270276820723,0.579367069626089,0.5793082998240923,0.9996259485172975,1.0,0.6527239552933617,0.3364856998087404,0.3694011332183433,-0.34991838432600036,0.6032989965549728,-0.00739471376909456,1.0,0.9999291559066371,0.04802068313096528,0.252448075029664,0.17026995842706905,-0.19613299441604787,-0.0007386552247797498,-0.0013506864485747605,-0.01828123969953458,0.003298867200098402,0.004015040440604955,-0.026991318452897917,0.0035923564440987522,0.002089633167119104,0.002089633167119104,-0.012617844041512864,-0.012617844041512864,0.004070212962951042
DistrictID,-0.026445262718100365,-0.026445262718100365,-0.026445262718100365,0.6027262841032909,-0.3467911653394472,-0.02283693262650046,0.602797331840775,-0.3467754281043559,0.5787572702901922,0.578723543159782,0.9996973360703367,0.9999291543744645,0.6522111664000436,0.33452126893332557,0.37062201259994415,-0.3467911847381603,0.6027262801077415,-0.00736439591297654,0.9999291559066371,1.0,0.04805724372454816,0.25231903037995135,0.17009820826720853,-0.19596124369327045,-0.0007970803612799045,-0.0013365178854265855,-0.018180037807456008,0.0031975143196907333,0.003968538157102705,-0.02691099086438754,0.0034872088125853526,0.00198188842778812,0.00198188842778812,-0.012539623759591266,-0.012539623759591266,0.003969828537379186
SHIFT_Code,0.04000677682575277,0.04000677682575277,0.04000677682575277,0.053372884640971764,-0.03665252670277628,0.03987004616296445,0.05336345454182279,-0.03665789810589774,0.015108188080796869,0.015718987198032986,0.048109841907952415,0.04806845659656171,0.015236840983868963,0.048550076840739684,0.03222121069744935,-0.036652528312463704,0.0533728839737167,-0.010069841135705882,0.04802068313096528,0.04805724372454816,1.0,0.12820062901521184,0.15051710230468363,-0.21298225399556697,-0.0055551091264357715,0.0036874873809927544,0.040708760373706694,0.007285824710714321,-0.00019271708347482275,0.03400504149129979,0.007168619531518089,0.008156871986681104,0.008156871986681104,0.07553632221484656,0.07553632221484656,0.0069526088278588595
OFFENSE_Code,-0.07093486181392299,-0.07093486181392299,-0.07093486181392299,0.22066264845027342,-0.11280762939397386,-0.0695777788923255,0.2206868186542528,-0.11280524846691832,0.21762492457810773,0.2166997083021914,0.25218712485234634,0.2523924605794398,0.22242303482160777,0.11294991445141479,0.13984860051770992,-0.11280763676957418,0.22066264773656066,0.02958990316537176,0.252448075029664,0.25231903037995135,0.12820062901521184,1.0,0.3411155114941526,-0.6087614081498807,-0.003288958730526612,0.014396361483255935,-0.06803362139173273,0.00244079155305636,0.0009516602748672662,-0.07984634362520529,0.002598714720723278,0.002197688466015901,0.002197688466015901,0.02391173553937902,0.02391173553937902,0.004409190739378238
METHOD_Code,-0.03230544491380895,-0.03230544491380895,-0.03230544491380895,0.14347515743704886,-0.1074129994300748,-0.032069743671122045,0.14348629540074465,-0.10741231233429908,0.14708010433898167,0.14671260708154182,0.16998490149426917,0.17029879895064393,0.15007639016648522,0.08346661202465314,0.1019794827730331,-0.10741300356228484,0.14347515519225304,0.01472927998936696,0.17026995842706905,0.17009820826720853,0.15051710230468363,0.3411155114941526,1.0,-0.6372192979288416,-0.003811196775015232,-0.0006535233737493679,-0.02913509135750745,-0.0022501387407671525,0.001361120436305651,-0.003093784241705976,-0.002079745795996303,-0.002500226263407984,-0.002500226263407984,0.01959893120612358,0.01959893120612358,-0.002033333126329653
CRIME_TYPE,0.05818228408935936,0.05818228408935936,0.05818228408935936,-0.16727901660640784,0.12107599597589053,0.05721562660007105,-0.16728948425673293,0.12107770072794143,-0.1646429085852633,-0.16433258495412237,-0.19572139236370512,-0.19604493643554208,-0.16745437876357272,-0.0953610408793969,-0.11741545719548674,0.12107600087143217,-0.16727901421057526,-0.023578317566684538,-0.19613299441604787,-0.19596124369327045,-0.21298225399556697,-0.6087614081498807,-0.6372192979288416,1.0,0.00509535493632953,-0.007330254531838257,0.05555151610287662,0.004601518208907147,0.0023447057888854594,0.001683181379557797,0.0047175048452210355,0.00453784081480917,0.00453784081480917,-0.029888434490089138,-0.029888434490089138,0.0027007783150986495
AGE,-0.0015511115083123284,-0.0015511115083123284,-0.0015511115083123284,-0.00255113893447952,-0.004428608115863634,-0.001534709125918678,-0.002551986058942747,-0.004428309837351248,0.0013858232685831928,0.0013979447696507686,-0.0007979930006210453,-0.0007424734550069036,0.0014302871442947425,0.0013846030182194922,-0.0009741292295498452,-0.004428607918140652,-0.0025511392228822227,0.002533570958021414,-0.0007386552247797498,-0.0007970803612799045,-0.0055551091264357715,-0.003288958730526612,-0.003811196775015232,0.00509535493632953,1.0,-0.09169322200402279,0.020225125707145773,-0.002584178181160377,0.001556032954667493,0.0009164594085627563,-0.002428836094340376,-0.0023949515502523903,-0.0023949515502523903,-0.0006377429594590944,-0.0006377429594590944,-0.0023575709187771384
TIME_TO_REPORT,0.005004827555849774,0.005004827555849774,0.005004827555849774,-0.0018039897458729886,-0.0009448822146099688,0.04327938953856929,-0.0018036819959021248,-0.000944500832223209,-0.001807030598934944,-0.0017248198840463832,-0.0013413117357401882,-0.0013560820215626555,-0.002317679831197337,0.0003496014746234788,-0.0031495138846981967,-0.0009448821178787535,-0.00180398983776425,0.0009515346376111428,-0.0013506864485747605,-0.0013365178854265855,0.0036874873809927544,0.014396361483255935,-0.0006535233737493679,-0.007330254531838257,-0.09169322200402279,1.0,-0.2315445218386769,-0.0012034488128212792,-0.00044872641165703353,-0.0011900685666005801,-0.0012288883444992083,-0.001617903493453152,-0.001617903493453152,0.00021038612283797497,0.00021038612283797497,-0.001205295242507353
Year,0.9589707540445396,0.9589707540445396,0.9589707540445396,-0.001581900887118778,0.014951066418811948,0.9475392010148725,-0.0015868827054438953,0.014950443867071549,-0.008266375802849103,-0.00736321129187463,-0.018017090654390226,-0.018382358018563454,-0.012723451617332135,-0.0005215379133897835,-0.006586947505237237,0.014951066175891245,-0.0015819001544439863,-0.30702193034092623,-0.01828123969953458,-0.018180037807456008,0.040708760373706694,-0.06803362139173273,-0.02913509135750745,0.05555151610287662,0.020225125707145773,-0.2315445218386769,1.0,-0.1174276943683865,-0.004053758477085383,0.028797618848755525,-0.11819618311407287,-0.11331422557553056,-0.11331422557553056,-0.008564504149003444,-0.008564504149003444,-0.11882501056029952
Month,-0.0510868685588472,-0.0510868685588472,-0.0510868685588472,0.005493688967015739,-0.00736088717676614,-0.08758632808070109,0.005492022436274855,-0.0073620284894525675,0.005528383553626566,0.0050340386976539635,0.003424621630679844,0.003409562272226585,0.0038364977600271644,0.005072072475370091,0.0029995022327639347,-0.007360887271119384,0.005493688711847146,-0.053934715761850355,0.003298867200098402,0.0031975143196907333,0.007285824710714321,0.00244079155305636,-0.0022501387407671525,0.004601518208907147,-0.002584178181160377,-0.0012034488128212792,-0.1174276943683865,1.0,-7.658939129166395e-05,-0.005753829636795984,0.9964037020864,0.9700838996975932,0.9700838996975932,-0.000503870766503215,-0.000503870766503215,0.970039097668251
Day,0.0033535541208012743,0.0033535541208012743,0.0033535541208012743,0.00798104967727163,-0.005531485065354337,-0.0006817514169244317,0.00798217392317112,-0.005531136600695032,0.00827953472190802,0.008467818077362665,0.003956809685615854,0.003966036201026535,0.008234660160106246,0.004603805457275664,0.008299377615457924,-0.0055314853026793565,0.007981049576006188,-0.0028598240906900652,0.004015040440604955,0.003968538157102705,-0.00019271708347482275,0.0009516602748672662,0.001361120436305651,0.0023447057888854594,0.001556032954667493,-0.00044872641165703353,-0.004053758477085383,-7.658939129166395e-05,1.0,0.006652487830905244,0.0843530415394537,0.05791324141730728,0.05791324141730728,-0.0022909661337335665,-0.0022909661337335665,0.003587662070007656
hour,0.02986653834314158,0.02986653834314158,0.02986653834314158,-0.016718477846307728,-0.013675533939051509,0.02815470657353114,-0.01671808570508502,-0.013673461581465629,-0.007415560007071356,-0.005825325552971016,-0.02688507369613784,-0.026935821583015756,-0.011985222489598381,-0.033901513742526056,0.0011939437681668353,-0.013675532949635043,-0.01671847895999846,-0.002522012344883337,-0.026991318452897917,-0.02691099086438754,0.03400504149129979,-0.07984634362520529,-0.003093784241705976,0.001683181379557797,0.0009164594085627563,-0.0011900685666005801,0.028797618848755525,-0.005753829636795984,0.006652487830905244,1.0,-0.0050635315746128985,-0.005273986465308499,-0.005273986465308499,-0.08609955271432042,-0.08609955271432042,-0.005179245274109984
dayofyear,-0.05143562964228508,-0.05143562964228508,-0.05143562964228508,0.006119210201656557,-0.007869493830221666,-0.08818539769826135,0.0061176210649835,-0.00787061791948889,0.00619148591653532,0.005715658055165409,0.003711528922519092,0.003698154854015698,0.0044869704565536515,0.0054763284237892415,0.003698954318249324,-0.00786949394184854,0.0061192099345193365,-0.052392849172049595,0.0035923564440987522,0.0034872088125853526,0.007168619531518089,0.002598714720723278,-0.002079745795996303,0.0047175048452210355,-0.002428836094340376,-0.0012288883444992083,-0.11819618311407287,0.9964037020864,0.0843530415394537,-0.0050635315746128985,1.0,0.9715394672730392,0.9715394672730392,-0.0007413579794839934,-0.0007413579794839934,0.9669158413308317
week,-0.048640531999881643,-0.048640531999881643,-0.048640531999881643,0.004798068271671827,-0.007099878727690756,-0.08460324114396489,0.004796612467749668,-0.0071009741410213425,0.005184202251259362,0.004718391438448559,0.0022057112204738267,0.0021928152399409173,0.003553669877872684,0.005350932614623373,0.002755656692013226,-0.007099878795999213,0.004798068013949899,-0.0528194938150369,0.002089633167119104,0.00198188842778812,0.008156871986681104,0.002197688466015901,-0.002500226263407984,0.00453784081480917,-0.0023949515502523903,-0.001617903493453152,-0.11331422557553056,0.9700838996975932,0.05791324141730728,-0.005273986465308499,0.9715394672730392,1.0,1.0,-0.0010048558538163508,-0.0010048558538163508,0.9448183842238895
weekofyear,-0.048640531999881643,-0.048640531999881643,-0.048640531999881643,0.004798068271671827,-0.007099878727690756,-0.08460324114396489,0.004796612467749668,-0.0071009741410213425,0.005184202251259362,0.004718391438448559,0.0022057112204738267,0.0021928152399409173,0.003553669877872684,0.005350932614623373,0.002755656692013226,-0.007099878795999213,0.004798068013949899,-0.0528194938150369,0.002089633167119104,0.00198188842778812,0.008156871986681104,0.002197688466015901,-0.002500226263407984,0.00453784081480917,-0.0023949515502523903,-0.001617903493453152,-0.11331422557553056,0.9700838996975932,0.05791324141730728,-0.005273986465308499,0.9715394672730392,1.0,1.0,-0.0010048558538163508,-0.0010048558538163508,0.9448183842238895
dayofweek,-0.008933570671959663,-0.008933570671959663,-0.008933570671959663,-0.012813830428408068,0.010986365912327836,-0.0090133125723249,-0.012823077026214583,0.010981823456603175,-0.029374941233210543,-0.02952696783957769,-0.012432158983391868,-0.01250304261727404,-0.030066066980367418,0.0011876498701237186,-0.0073088388812154,0.010986366258115172,-0.012813830151957823,-0.0016396368495988406,-0.012617844041512864,-0.012539623759591266,0.07553632221484656,0.02391173553937902,0.01959893120612358,-0.029888434490089138,-0.0006377429594590944,0.00021038612283797497,-0.008564504149003444,-0.000503870766503215,-0.0022909661337335665,-0.08609955271432042,-0.0007413579794839934,-0.0010048558538163508,-0.0010048558538163508,1.0,1.0,-0.0011932639821484888
weekday,-0.008933570671959663,-0.008933570671959663,-0.008933570671959663,-0.012813830428408068,0.010986365912327836,-0.0090133125723249,-0.012823077026214583,0.010981823456603175,-0.029374941233210543,-0.02952696783957769,-0.012432158983391868,-0.01250304261727404,-0.030066066980367418,0.0011876498701237186,-0.0073088388812154,0.010986366258115172,-0.012813830151957823,-0.0016396368495988406,-0.012617844041512864,-0.012539623759591266,0.07553632221484656,0.02391173553937902,0.01959893120612358,-0.029888434490089138,-0.0006377429594590944,0.00021038612283797497,-0.008564504149003444,-0.000503870766503215,-0.0022909661337335665,-0.08609955271432042,-0.0007413579794839934,-0.0010048558538163508,-0.0010048558538163508,1.0,1.0,-0.0011932639821484888
quarter,-0.053553768186464484,-0.053553768186464484,-0.053553768186464484,0.006798605393570095,-0.00827726319859527,-0.09011872513982355,0.00679683668112834,-0.008278501942928028,0.006959682629658266,0.006399048332535891,0.004193686625840608,0.004167392400233983,0.005147775732201706,0.0059529170678430075,0.003813307750278213,-0.008277263330844107,0.006798605120569426,-0.05691141726823325,0.004070212962951042,0.003969828537379186,0.0069526088278588595,0.004409190739378238,-0.002033333126329653,0.0027007783150986495,-0.0023575709187771384,-0.001205295242507353,-0.11882501056029952,0.970039097668251,0.003587662070007656,-0.005179245274109984,0.9669158413308317,0.9448183842238895,0.9448183842238895,-0.0011932639821484888,-0.0011932639821484888,1.0
